이름,종류,위도,경도,일일처리 가능용량(만 통),관할지역
동서울 우편집중국,대형집중국,37.53551,127.08612,900,
동서울 우편물류센터,대형집중국,37.5376,127.09043,5,
서서울 우편물류센터,대형집중국,37.53256,126.87592,5,
의정부 우편집중국,대형집중국,37.74532,127.08186,300,
부천 우편집중국,대형집중국,37.52949,126.7825,250,
부평 우편물류센터,대형집중국,37.5078,126.7149,16,
중부권 광역우편물류센터,대형집중국,36.27155,127.47418,192,
부산 우편집중국,대형집중국,35.21729,128.95873,250,
대구 우편집중국,대형집중국,35.91037,128.61468,250,
안양 우편물류센터,중형집중국,37.38852,126.94582,225,
성남 우편집중국,중형집중국,37.34128,127.10805,225,
안양 우편집중국,중형집중국,37.39136,126.95689,225,
고양 우편집중국,중형집중국,37.63941,126.78518,225,
대전 우편집중국,중형집중국,36.26105,127.27469,125,
창원 우편집중국,중형집중국,35.19963,128.596,125,
광주 우편집중국,중형집중국,35.21902,126.85199,125,
수원 우편집중국,소형집중국,37.25424,127.07619,75,
원주 우편집중국,소형집중국,37.3396,127.93485,75,
강릉 우편집중국,소형집중국,37.75946,128.87391,50,
청주 우편집중국,소형집중국,36.62151,127.47092,75,
천안 우편집중국,소형집중국,36.82084,127.12336,50,
울산 우편집중국,소형집중국,35.57364,129.3579,75,
안동 우편집중국,소형집중국,36.56054,128.73536,50,
포항 우편집중국,소형집중국,36.04294,129.32287,80,
진주 우편집중국,소형집중국,35.21729,128.14197,75,
제주 우편집중국,소형집중국,33.48168,126.48063,35,
순천 집중과,소형집중국,34.94362,127.52441,50,
영암 우편집중국,소형집중국,34.75112,126.45163,50,
전주 우편집중국,소형집중국,35.96473,127.12776,75,
